A,B,C,D,E,Ropen
0.1485,0.1488,0.1503,0.1492,0.148,1.0739
0.1484,0.1488,0.1503,0.1492,0.149,1.0739
0.1482,0.1491,0.1504,0.1492,0.1482,1.0739
0.1489,0.1496,0.1507,0.1494,0.1482,1.0716
0.149,0.1496,0.1505,0.1492,0.1482,1.0715
0.1478,0.1483,0.1497,0.1484,0.1472,1.074
0.1477,0.1483,0.1496,0.1483,0.1472,1.07363
0.1476,0.1481,0.1495,0.1483,0.1471,1.06751
0.1478,0.1483,0.1497,0.1484,0.1472,1.0729
0.1479,0.1485,0.1498,0.1485,0.1474,1.07366
0.1479,0.1485,0.1499,0.1487,0.1475,1.0728
0.1482,0.1489,0.1504,0.149,0.148,1.07159
0.1483,0.1488,0.1503,0.1492,0.1481,1.06749
